Name,Neighborhood_id,Neighborhood_name,District_id,District_name,Latitud,Longitud
Aparcament Estació Barcelona Nord,5,Fort Pienc,2,Eixample,41.39428317007616,2.1819772536329864
Aparcament Saba Travessera De Gràcia 17*21,26,Sant Gervasi-Galvany,5,Sarrià-Sant Gervasi,41.394357096989886,2.1465402684895087
Aparcament  Bamsa Siracusa,31,Vila de Gràcia,6,Gràcia,41.4017648067868,2.160778367107828
Aparcament Bamsa Tarradellas Ii,9,La Nova Esquerra de l'Eixample,2,Eixample,41.38649998993496,2.142809867115534
Aparcament Gràcia Motos,31,Vila de Gràcia,6,Gràcia,41.40325056371274,2.152337897961678
Aparcament  Bamsa Illa Raval,1,El Raval,1,Ciutat Vella,41.379299348603666,2.1698414264941084
Aparcament Bamsa Urgell,10,Sant Antoni,2,Eixample,41.37942591140186,2.1624828825280162
Aparcament Badajoz-glòries,66,El Parc i la Llacuna del Poblenou,10,Sant Martí,41.40214569463325,2.1910365479757883
Aparcament Marqués De Mulhacén,21,Pedralbes,4,Les Corts,41.394170973988224,2.114996855762526
My Beautiful Parking,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.38457355931776,2.178808841656823
Aparcament Ciutat De Teatre,11,El Poble-sec,3,Sants-Montjuïc,41.37211368215284,2.1575201184301034
Aparcament  Saba Diputació,7,Dreta de l'Eixample,2,Eixample,41.391855189205266,2.1687714242930265
Aparcament Bamsa Paral·lel  *plaça Raquel Meller,1,El Raval,1,Ciutat Vella,41.3753582904812,2.1698642049927455
Aparcament  Saba Joan Güell,19,Les Corts,4,Les Corts,41.38776184859274,2.128759712013643
Aparcament Cotxeres De Sarria,23,Sarrià,5,Sarrià-Sant Gervasi,41.392529493456195,2.129163968172672
Aparcament Francesc Layret,51,Verdun,8,Nou Barris,41.442035374828976,2.177413673469187
Aparcament De Bicicletes Parking Bike,2,Gothic Quarter,1,Ciutat Vella,41.38206687885175,2.1799641488047112
Aparcament Saba Pau Casals,26,Sant Gervasi-Galvany,5,Sarrià-Sant Gervasi,41.39372705052941,2.1432018187223183
Aparcament Hospital Clínic,8,L'Antiga Esquerra de l'Eixample,2,Eixample,41.38940083048422,2.1539687838019392
Aparcament Bilbao - Llull,68,El Poblenou,10,Sant Martí,41.40238689007209,2.204896714047769
Aparcament Plaça De Les Arts,5,Fort Pienc,2,Eixample,41.40010057699229,2.1845121120785893
Aparcament Maragall,64,El Camp de l'Arpa del Clot,10,Sant Martí,41.41614143901906,2.1806022091290447
Aparcament De Sant Genís - Vall D'hebron,41,Vall d'Hebron,7,Horta-Guinardó,41.42683886790188,2.1437095047319734
Aparcament Torrent De L'olla,31,Vila de Gràcia,6,Gràcia,41.40722305485605,2.1513113019015346
Aparcament  Saba Gràcia I (diagonal/ Jardinets),31,Vila de Gràcia,6,Gràcia,41.397027420081876,2.15944229796113
Aparcament Ferran Casablancas,25,Sant Gervasi-la Bonanova,5,Sarrià-Sant Gervasi,41.40152762909788,2.1334060660078245
"Aparcament Saba Gran Via Ii   (pg De Gràcia,  Gran Via-aragó)",7,Dreta de l'Eixample,2,Eixample,41.39084827025503,2.1671026474952755
Aparcament Saba Lluís Companys,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.39092738748949,2.179893663641707
Aparcament Del Parc De Recerca Biomèdica,3,La Barceloneta,1,Ciutat Vella,41.38557664189982,2.1940174451357706
Aparcament Cardenal Sentmenat-vergòs,23,Sarrià,5,Sarrià-Sant Gervasi,41.39786909128066,2.125612134584967
Aparcament Plaça Navas,11,El Poble-sec,3,Sants-Montjuïc,41.37430413382113,2.1593915397546
Aparcament Mitre-putget,27,El Putxet i el Farró,5,Sarrià-Sant Gervasi,41.40544259696183,2.14259068047627
Aparcament Moll De La Fusta,2,Gothic Quarter,1,Ciutat Vella,41.38075283177886,2.1821248231432664
Aparcament Rius I Taulet,11,El Poble-sec,3,Sants-Montjuïc,41.37185297387243,2.151124045205039
Aparcament Bamsa Plaça Del Sol,31,Vila de Gràcia,6,Gràcia,41.401382852351496,2.1566817264215596
Aparcament Illa Borbó,44,Vilapicina i la Torre Llobeta,8,Nou Barris,41.42762260032393,2.177031671675886
Aparcament Plaça Del Fòrum,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,41.412916533778,2.221235370781124
Aparcament García Faria,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,41.4066547005395,2.2183842190261593
Aparcament  Bamsa Josep Tarradellas Ii,9,La Nova Esquerra de l'Eixample,2,Eixample,41.38287903281645,2.1425376125220716
Aparcament  Bamsa València - Calàbria,9,La Nova Esquerra de l'Eixample,2,Eixample,41.383672384517254,2.151203803888976
Aparcament Plaça Joanic,31,Vila de Gràcia,6,Gràcia,41.40573689831474,2.1626217913589194
Aparcament Boqueria,1,El Raval,1,Ciutat Vella,41.38180177344264,2.170623042190181
Aparcament Tanatori Les Corts-menéndez Pelayo,20,La Maternitat i Sant Ramon,4,Les Corts,41.38394474316304,2.1217647149048084
Aparcament Travessera De Dalt - Park Güell,30,La Salut,6,Gràcia,41.409455171095416,2.1543763077432083
Aparcament Concepción Arenal,61,La Sagrera,9,Sant Andreu,41.42580936907762,2.1838258120627536
Aparcament Marina Gràcia,33,El Baix Guinardó,7,Horta-Guinardó,41.408808263664085,2.1684123732108516
Aparcament Bamsa Avinguda Francesc Cambó  *mercat De Santa Caterina,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.385812859200435,2.177181632189439
Aparcament Avinguda Gaudi,6,Sagrada Família,2,Eixample,41.41083584302845,2.1745434870906517
Aparcament  Bamsa Vilardell,15,Hostafrancs,3,Sants-Montjuïc,41.37462224787866,2.1427285730743764
Aparcament Bamsa Joseptarradellas I,19,Les Corts,4,Les Corts,41.390412979536215,2.1435244930916197
Aparcament Mercat Sagrada Família,6,Sagrada Família,2,Eixample,41.40505509128825,2.177303061122395
Aparcament Hospital Del Mar,3,La Barceloneta,1,Ciutat Vella,41.38343516582271,2.1946845834907176
Aparcament Sant Andreu Teatre,60,Sant Andreu de Palomar,9,Sant Andreu,41.43045897216186,2.1880010354685666
Aparcament Bamsa Plaça Dels Àngels,1,El Raval,1,Ciutat Vella,41.38215877369944,2.168204704594222
Aparcament Biciberg,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,41.403736943589706,2.214509524834235
Aparcament Litoral Port,67,La Vila Olímpica del Poblenou,10,Sant Martí,41.38845535745438,2.19841491644103
Aparcament Marina Port,3,La Barceloneta,1,Ciutat Vella,41.38683386541593,2.197503686111532
Aparcament Rambla Poblenou,68,El Poblenou,10,Sant Martí,41.40431575391908,2.197335085345547
Aparcament Bamsa Gal·la Placídia,31,Vila de Gràcia,6,Gràcia,41.39892182507823,2.153687478852798
Aparcament Porta De Sarrià,23,Sarrià,5,Sarrià-Sant Gervasi,41.399796106993556,2.123340826311871
Aparcament Aurise,7,Dreta de l'Eixample,2,Eixample,41.390506285717755,2.162921026351077
Aparcament Bamsa Londres-villarroel,8,L'Antiga Esquerra de l'Eixample,2,Eixample,41.39121354040582,2.147928375511248
Aparcament Bamsa Barceloneta,3,La Barceloneta,1,Ciutat Vella,41.379862407312864,2.1891330964500364
Aparcament Flos I Calcat,19,Les Corts,4,Les Corts,41.389951560285546,2.1288265695938584
Aparcament Ona Glòries,66,El Parc i la Llacuna del Poblenou,10,Sant Martí,41.404463080045794,2.1894848917871115
Aparcament Plaça Bonanova,25,Sant Gervasi-la Bonanova,5,Sarrià-Sant Gervasi,41.406819626163255,2.1334975833851173
